"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","is_central","task","trial","dataset","group_id","subject","confidence"
"26",26,"Election",240,"Dem",200,250,220,224.6,"D","decentralized",1,1,NA,200,220,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","240D1decentralized1Dem",NA
"27",27,"Unemployment",202,"Dem",40,8,8,4.9,"D","decentralized",1,1,NA,40,8,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","202D1decentralized1Dem",NA
"28",28,"Unemployment",240,"Dem",8,9,8,4.9,"D","decentralized",1,1,NA,8,8,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","240D1decentralized1Dem",NA
"29",29,"Taxes",253,"Dem",12,27,26,14.6,"D","decentralized",1,1,NA,12,26,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","253D1decentralized1Dem",NA
"30",30,"Unemployment",228,"Dem",6,6,6,4.9,"D","decentralized",1,1,NA,6,6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","228D1decentralized1Dem",NA
"31",31,"California",262,"Dem",45,48,45,60.2,"D","decentralized",1,1,NA,45,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","262D1decentralized1Dem",NA
"32",32,"Taxes",240,"Dem",25,23,22,14.6,"D","decentralized",1,1,NA,25,22,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","240D1decentralized1Dem",NA
"33",33,"California",276,"Dem",55,30,28,60.2,"D","decentralized",1,1,NA,55,28,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","276D1decentralized1Dem",NA
"34",34,"Election",258,"Dem",189,170,180,224.6,"D","decentralized",1,1,NA,189,180,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","258D1decentralized1Dem",NA
"35",35,"Election",271,"Dem",320,290,275,224.6,"D","decentralized",1,1,NA,320,275,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","271D1decentralized1Dem",NA
"36",36,"Unemployment",229,"Dem",45,7,8,4.9,"D","decentralized",1,1,NA,45,8,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","229D1decentralized1Dem",NA
"37",37,"Taxes",203,"Dem",16,22,20,14.6,"D","decentralized",1,1,NA,16,20,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","203D1decentralized1Dem",NA
"38",38,"Unemployment",271,"Dem",5,4,5,4.9,"D","decentralized",1,1,NA,5,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","271D1decentralized1Dem",NA
"39",39,"Election",253,"Dem",132,167,219,224.6,"D","decentralized",1,1,NA,132,219,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","253D1decentralized1Dem",NA
"40",40,"Unemployment",253,"Dem",NA,6,7,4.9,"D","decentralized",1,1,NA,NA,7,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","253D1decentralized1Dem",NA
"41",41,"Unemployment",226,"Dem",4,5,5,4.9,"D","decentralized",1,1,NA,4,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","226D1decentralized1Dem",NA
"42",42,"Taxes",220,"Dem",14,20,26,14.6,"D","decentralized",1,1,NA,14,26,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","220D1decentralized1Dem",NA
"43",43,"California",233,"Dem",18,15,15,60.2,"D","decentralized",1,1,NA,18,15,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","233D1decentralized1Dem",NA
"44",44,"Election",203,"Dem",240,NA,222,224.6,"D","decentralized",1,1,NA,240,222,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","203D1decentralized1Dem",NA
"45",45,"Election",254,"Dem",240,200,250,224.6,"D","decentralized",1,1,NA,240,250,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","254D1decentralized1Dem",NA
"46",46,"California",203,"Dem",35,30,40,60.2,"D","decentralized",1,1,NA,35,40,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","203D1decentralized1Dem",NA
"47",47,"Unemployment",214,"Dem",4.8,6,5,4.9,"D","decentralized",1,1,NA,4.8,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","214D1decentralized1Dem",NA
"48",48,"Election",214,"Dem",225,300,300,224.6,"D","decentralized",1,1,NA,225,300,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","214D1decentralized1Dem",NA
"49",49,"Election",226,"Dem",199,199,199,224.6,"D","decentralized",1,1,NA,199,199,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","226D1decentralized1Dem",NA
"50",50,"Election",275,"Dem",150,70,120,224.6,"D","decentralized",1,1,NA,150,120,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","275D1decentralized1Dem",NA
"51",51,"Taxes",219,"Dem",19,19.5,19,14.6,"D","decentralized",1,1,NA,19,19,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","219D1decentralized1Dem",NA
"52",52,"Taxes",226,"Dem",22.5,22,25,14.6,"D","decentralized",1,1,NA,22.5,25,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","226D1decentralized1Dem",NA
"53",53,"California",213,"Dem",40,42,53,60.2,"D","decentralized",1,1,NA,40,53,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","213D1decentralized1Dem",NA
"54",54,"California",271,"Dem",54,53,52,60.2,"D","decentralized",1,1,NA,54,52,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","271D1decentralized1Dem",NA
"55",55,"Taxes",271,"Dem",13,14,13,14.6,"D","decentralized",1,1,NA,13,13,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","271D1decentralized1Dem",NA
"56",56,"California",240,"Dem",30,35,45,60.2,"D","decentralized",1,1,NA,30,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","240D1decentralized1Dem",NA
"57",57,"California",214,"Dem",55,60,60,60.2,"D","decentralized",1,1,NA,55,60,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","214D1decentralized1Dem",NA
"58",58,"Taxes",262,"Dem",13,15,15,14.6,"D","decentralized",1,1,NA,13,15,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","262D1decentralized1Dem",NA
"59",59,"Unemployment",225,"Dem",6,5,5,4.9,"D","decentralized",1,1,NA,6,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","225D1decentralized1Dem",NA
"60",60,"Taxes",234,"Dem",15.6,17,21.8,14.6,"D","decentralized",1,1,NA,15.6,21.8,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","234D1decentralized1Dem",NA
"61",61,"Taxes",225,"Dem",18,20,20,14.6,"D","decentralized",1,1,NA,18,20,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","225D1decentralized1Dem",NA
"62",62,"Election",229,"Dem",2450000,185,156,224.6,"D","decentralized",1,1,NA,2450000,156,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","229D1decentralized1Dem",NA
"63",63,"Unemployment",222,"Dem",4,5,5,4.9,"D","decentralized",1,1,NA,4,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","222D1decentralized1Dem",NA
"64",64,"Unemployment",201,"Dem",45,10,NA,4.9,"D","decentralized",1,1,NA,45,NA,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","201D1decentralized1Dem",NA
"65",65,"Taxes",229,"Dem",20,22,22,14.6,"D","decentralized",1,1,NA,20,22,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","229D1decentralized1Dem",NA
"66",66,"Election",264,"Dem",150,5,140,224.6,"D","decentralized",1,1,NA,150,140,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","264D1decentralized1Dem",NA
"67",67,"Election",233,"Dem",200,225,227,224.6,"D","decentralized",1,1,NA,200,227,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","233D1decentralized1Dem",NA
"68",68,"Unemployment",220,"Dem",4.9,6,6,4.9,"D","decentralized",1,1,NA,4.9,6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","220D1decentralized1Dem",NA
"69",69,"Election",219,"Dem",270,227,227,224.6,"D","decentralized",1,1,NA,270,227,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","219D1decentralized1Dem",NA
"70",70,"Election",276,"Dem",300,275,225,224.6,"D","decentralized",1,1,NA,300,225,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","276D1decentralized1Dem",NA
"71",71,"Unemployment",203,"Dem",4,5,6,4.9,"D","decentralized",1,1,NA,4,6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","203D1decentralized1Dem",NA
"72",72,"Taxes",221,"Dem",42,20,21,14.6,"D","decentralized",1,1,NA,42,21,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","221D1decentralized1Dem",NA
"73",73,"California",211,"Dem",60,46,40,60.2,"D","decentralized",1,1,NA,60,40,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","211D1decentralized1Dem",NA
"74",74,"California",279,"Dem",14,45,45,60.2,"D","decentralized",1,1,NA,14,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","279D1decentralized1Dem",NA
"75",75,"Unemployment",279,"Dem",4,5,4,4.9,"D","decentralized",1,1,NA,4,4,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","279D1decentralized1Dem",NA
"76",76,"California",229,"Dem",43,44,45,60.2,"D","decentralized",1,1,NA,43,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","229D1decentralized1Dem",NA
"77",77,"Election",247,"Dem",250,208,208,224.6,"D","decentralized",1,1,NA,250,208,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","247D1decentralized1Dem",NA
"78",78,"Unemployment",208,"Dem",12,6,6,4.9,"D","decentralized",1,1,NA,12,6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","208D1decentralized1Dem",NA
"79",79,"Taxes",222,"Dem",35,30,28,14.6,"D","decentralized",1,1,NA,35,28,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","222D1decentralized1Dem",NA
"80",80,"Taxes",279,"Dem",23.1,23.1,23.1,14.6,"D","decentralized",1,1,NA,23.1,23.1,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","279D1decentralized1Dem",NA
"81",81,"California",208,"Dem",35,48,49,60.2,"D","decentralized",1,1,NA,35,49,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","208D1decentralized1Dem",NA
"82",82,"California",280,"Dem",35,35,35,60.2,"D","decentralized",1,1,NA,35,35,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","280D1decentralized1Dem",NA
"83",83,"Unemployment",247,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","247D1decentralized1Dem",NA
"84",84,"California",228,"Dem",52,50,52,60.2,"D","decentralized",1,1,NA,52,52,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","228D1decentralized1Dem",NA
"85",85,"Election",225,"Dem",200,220,230,224.6,"D","decentralized",1,1,NA,200,230,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","225D1decentralized1Dem",NA
"86",86,"Unemployment",264,"Dem",12,12,10,4.9,"D","decentralized",1,1,NA,12,10,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","264D1decentralized1Dem",NA
"87",87,"California",221,"Dem",12,25,42,60.2,"D","decentralized",1,1,NA,12,42,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","221D1decentralized1Dem",NA
"88",88,"Unemployment",211,"Dem",4.6,4.6,4.6,4.9,"D","decentralized",1,1,NA,4.6,4.6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","211D1decentralized1Dem",NA
"89",89,"Election",211,"Dem",100,210,200,224.6,"D","decentralized",1,1,NA,100,200,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","211D1decentralized1Dem",NA
"90",90,"Taxes",211,"Dem",23,22,19,14.6,"D","decentralized",1,1,NA,23,19,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","211D1decentralized1Dem",NA
"91",91,"Unemployment",212,"Dem",4.9,5,4.7,4.9,"D","decentralized",1,1,NA,4.9,4.7,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","212D1decentralized1Dem",NA
"92",92,"California",201,"Dem",15,25,30,60.2,"D","decentralized",1,1,NA,15,30,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","201D1decentralized1Dem",NA
"93",93,"Taxes",201,"Dem",30,25,24,14.6,"D","decentralized",1,1,NA,30,24,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","201D1decentralized1Dem",NA
"94",94,"Taxes",264,"Dem",8,25,23,14.6,"D","decentralized",1,1,NA,8,23,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","264D1decentralized1Dem",NA
"95",95,"California",264,"Dem",45,33,38,60.2,"D","decentralized",1,1,NA,45,38,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","264D1decentralized1Dem",NA
"96",96,"Unemployment",276,"Dem",12,5,5,4.9,"D","decentralized",1,1,NA,12,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","276D1decentralized1Dem",NA
"97",97,"Taxes",275,"Dem",29,27,32,14.6,"D","decentralized",1,1,NA,29,32,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","275D1decentralized1Dem",NA
"98",98,"Taxes",276,"Dem",15,11,12,14.6,"D","decentralized",1,1,NA,15,12,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","276D1decentralized1Dem",NA
"99",99,"Unemployment",269,"Dem",4.7,5,5,4.9,"D","decentralized",1,1,NA,4.7,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","269D1decentralized1Dem",NA
"100",100,"California",269,"Dem",51,45,47,60.2,"D","decentralized",1,1,NA,51,47,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","269D1decentralized1Dem",NA
"101",101,"California",225,"Dem",35,30,30,60.2,"D","decentralized",1,1,NA,35,30,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","225D1decentralized1Dem",NA
"102",102,"Election",234,"Dem",134,234,248,224.6,"D","decentralized",1,1,NA,134,248,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","234D1decentralized1Dem",NA
"103",103,"Unemployment",234,"Dem",14,4.6,4.7,4.9,"D","decentralized",1,1,NA,14,4.7,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","234D1decentralized1Dem",NA
"104",104,"California",254,"Dem",60,45,45,60.2,"D","decentralized",1,1,NA,60,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","254D1decentralized1Dem",NA
"105",105,"California",247,"Dem",6,52,52,60.2,"D","decentralized",1,1,NA,6,52,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","247D1decentralized1Dem",NA
"106",106,"Election",204,"Dem",340,320,320,224.6,"D","decentralized",1,1,NA,340,320,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","204D1decentralized1Dem",NA
"107",107,"California",253,"Dem",7,26,29,60.2,"D","decentralized",1,1,NA,7,29,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","253D1decentralized1Dem",NA
"108",108,"California",219,"Dem",35,36,33,60.2,"D","decentralized",1,1,NA,35,33,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","219D1decentralized1Dem",NA
"109",109,"Unemployment",275,"Dem",6,5,4.5,4.9,"D","decentralized",1,1,NA,6,4.5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","275D1decentralized1Dem",NA
"110",110,"Taxes",247,"Dem",39,29,30,14.6,"D","decentralized",1,1,NA,39,30,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","247D1decentralized1Dem",NA
"111",111,"Unemployment",280,"Dem",13,7,7,4.9,"D","decentralized",1,1,NA,13,7,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","280D1decentralized1Dem",NA
"112",112,"Taxes",254,"Dem",15,15,15,14.6,"D","decentralized",1,1,NA,15,15,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","254D1decentralized1Dem",NA
"113",113,"Taxes",256,"Dem",20,15,26,14.6,"D","decentralized",1,1,NA,20,26,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","256D1decentralized1Dem",NA
"114",114,"Election",220,"Dem",350,240,235,224.6,"D","decentralized",1,1,NA,350,235,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","220D1decentralized1Dem",NA
"115",115,"Unemployment",256,"Dem",15,14,4,4.9,"D","decentralized",1,1,NA,15,4,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","256D1decentralized1Dem",NA
"116",116,"Taxes",269,"Dem",22,8.6,10,14.6,"D","decentralized",1,1,NA,22,10,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","269D1decentralized1Dem",NA
"117",117,"California",204,"Dem",40,40,40,60.2,"D","decentralized",1,1,NA,40,40,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","204D1decentralized1Dem",NA
"118",118,"California",222,"Dem",50,48,52,60.2,"D","decentralized",1,1,NA,50,52,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","222D1decentralized1Dem",NA
"119",119,"Taxes",258,"Dem",21,22,25,14.6,"D","decentralized",1,1,NA,21,25,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","258D1decentralized1Dem",NA
"120",120,"California",212,"Dem",45,44,46,60.2,"D","decentralized",1,1,NA,45,46,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","212D1decentralized1Dem",NA
"121",121,"Taxes",204,"Dem",40,40,40,14.6,"D","decentralized",1,1,NA,40,40,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","204D1decentralized1Dem",NA
"122",122,"Taxes",280,"Dem",37,23,32,14.6,"D","decentralized",1,1,NA,37,32,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","280D1decentralized1Dem",NA
"123",123,"Unemployment",204,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","204D1decentralized1Dem",NA
"124",124,"California",275,"Dem",65,60,55,60.2,"D","decentralized",1,1,NA,65,55,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","275D1decentralized1Dem",NA
"125",125,"Election",269,"Dem",272,260,245,224.6,"D","decentralized",1,1,NA,272,245,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","269D1decentralized1Dem",NA
"126",126,"California",258,"Dem",51,49,45,60.2,"D","decentralized",1,1,NA,51,45,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","258D1decentralized1Dem",NA
"127",127,"Election",256,"Dem",300,400,450,224.6,"D","decentralized",1,1,NA,300,450,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","256D1decentralized1Dem",NA
"128",128,"California",256,"Dem",40,45,1,60.2,"D","decentralized",1,1,NA,40,1,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","256D1decentralized1Dem",NA
