question,qcode,group,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
jellybean1,100,47,50454,250,100,2,7,6,2,5,2,4,120,7,6,6,6,5,7,150,130,1
jellybean1,100,47,50580,250,240,5,3,3,7,5,5,4,85,5,4,6,6,7,6,10,165,0
jellybean1,100,47,50830,250,120,5,2,3,5,5,4,5,110,5,5,7,5,5,4,130,140,0
jellybean1,100,48,20036,250,430,4,4,4,2,6,5,4,175,6,6,2,5,5,5,180,75,1
jellybean1,100,48,26383,250,275,3,5,4,5,5,4,4,200,5,4,6,6,6,5,25,50,0
jellybean1,100,48,48417,250,100,5,5,6,2,6,3,5,110,5,6,2,5,3,3,150,140,1
jellybean1,100,48,49595,250,150,5,5,5,3,5,5,4,130,6,6,3,5,2,2,100,120,0
jellybean1,100,49,29827,250,150,3,5,5,5,3,3,4,200,3,4,5,5,5,3,100,50,1
jellybean1,100,49,49594,250,100,4,4,4,4,4,4,4,225,4,4,4,4,4,5,150,25,1
jellybean1,100,49,50600,250,450,6,5,5,5,5,4,4,250,5,5,5,7,7,6,200,0,1
jellybean1,100,49,50848,250,275,3,5,5,4,5,5,4,225,5,5,4,5,5,4,25,25,0
jellybean1,100,50,31277,250,330,1,7,7,1,5,4,4,330,7,7,1,7,7,4,80,80,0
jellybean1,100,50,50685,250,250,4,4,4,5,5,5,4,200,4,5,3,5,3,3,0,50,0
jellybean1,100,50,50786,250,173,5,5,5,6,6,5,4,225,6,6,4,6,5,6,77,25,1
jellybean1,100,51,49211,250,150,4,3,4,3,5,4,4,230,5,5,3,5,5,4,100,20,1
jellybean1,100,51,49568,250,252,3,6,6,3,4,3,5,252,6,6,3,3,2,1,2,2,0
jellybean1,100,51,50712,250,75,3,6,6,2,5,2,4,240,6,7,3,7,7,6,175,10,1
jellybean1,100,52,31758,250,85,5,3,3,5,5,5,3,60,4,3,5,5,6,5,165,190,0
jellybean1,100,52,41302,250,50,5,2,2,5,4,4,4,50,5,4,5,4,4,2,200,200,0
jellybean1,100,52,50799,250,50,6,1,2,1,5,5,2,60,4,5,4,6,5,4,200,190,1
jellybean1,100,53,29147,250,200,2,6,6,2,6,2,6,190,7,6,1,6,6,6,50,60,0
jellybean1,100,53,36019,250,200,5,2,2,7,2,5,4,150,3,3,6,6,5,5,50,100,0
jellybean1,100,53,45337,250,65,5,5,5,6,6,6,4,175,6,6,4,7,7,6,185,75,1
jellybean1,100,53,50455,250,132,5,2,2,6,2,6,4,200,6,6,6,6,6,6,118,50,1
jellybean1,100,54,48236,250,100,5,5,5,5,5,3,4,150,5,6,3,6,5,3,150,100,1
jellybean1,100,54,50801,250,240,3,5,5,3,5,4,4,165,5,5,3,5,5,3,10,85,0
jellybean1,100,55,45489,250,80,5,5,5,4,5,5,4,170,5,5,4,5,5,6,170,80,1
jellybean1,100,55,50526,250,200,2,6,6,2,2,2,5,170,6,6,2,6,5,4,50,80,0
jellybean1,100,55,50612,250,170,3,6,5,3,4,2,4,170,5,6,3,5,1,2,80,80,0
jellybean1,100,55,41405,250,50,4,5,5,5,6,6,3,110,6,6,5,6,7,7,200,140,1
jellybean1,100,55,50419,250,200,5,4,3,5,5,5,4,125,4,4,5,5,5,5,50,125,0
jellybean1,100,55,50870,250,113,5,5,6,2,7,5,5,75,6,7,3,7,5,6,137,175,0
jellybean1,100,56,46847,250,105,5,5,4,5,5,4,4,155,5,5,5,6,5,4,145,95,1
jellybean1,100,56,47494,250,150,4,6,6,2,5,5,4,200,7,7,1,4,4,3,100,50,1
jellybean1,100,56,50831,250,245,3,6,6,1,4,2,4,230,5,5,2,4,2,3,5,20,0
