qtype,question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
populations,US,13,66,49548,324,400,4,5,325,5,76,1,1
populations,US,13,66,49843,324,351,5,4,351,5,27,27,0
populations,US,13,66,46551,324,33,3,6,352,6,291,28,1
populations,US,13,66,41405,324,300,3,6,325,5,24,1,1
populations,US,13,67,7873,324,320,1,7,321,7,4,3,1
populations,US,13,67,48647,324,9,5,3,350,4,315,26,1
populations,US,13,67,48726,324,750,6,5,450,5,426,126,1
populations,US,13,67,27235,324,999,4,2,300,5,675,24,1
populations,US,13,68,42915,324,400,4,4,331,5,76,7,1
populations,US,13,68,48364,324,330,2,6,330,6,6,6,0
populations,US,13,68,47678,324,600,2,3,340,6,276,16,1
populations,US,13,68,40540,324,568,7,2,330,3,244,6,1
populations,US,13,69,49432,324,330,3,6,320,6,6,4,1
populations,US,13,69,40355,324,50,5,3,360,3,274,36,1
populations,US,13,69,47314,324,500,4,4,350,4,176,26,1
populations,US,13,69,49215,324,300,2,5,320,5,24,4,1
populations,US,13,69,49165,324,330,3,6,340,6,6,16,0
populations,US,13,70,46006,324,500,4,3,300,1,176,24,1
populations,US,13,70,40975,324,300,4,4,320,4,24,4,1
populations,US,13,70,41436,324,350,3,5,300,3,26,24,1
populations,US,13,70,47622,324,315,5,5,350,5,9,26,0
populations,US,13,70,49132,324,350,2,5,320,5,26,4,1
populations,US,13,71,48865,324,330,3,5,330,6,6,6,0
populations,US,13,71,49727,324,350,4,5,350,4,26,26,0
populations,US,13,71,48763,324,325,5,2,330,2,1,6,0
populations,US,13,71,40461,324,350,4,4,335,2,26,11,1
populations,US,13,71,47398,324,330,4,5,330,5,6,6,0
populations,US,13,72,49787,324,500,3,5,500,3,176,176,0
populations,US,13,72,44143,324,330,5,3,333,4,6,9,0
populations,US,13,72,49865,324,330,1,7,334,7,6,10,0
populations,US,13,72,49310,324,333,5,2,333,6,9,9,0
populations,US,13,72,45727,324,330,5,5,334,5,6,10,0
populations,US,13,73,46881,324,300,1,7,330,6,24,6,1
populations,US,13,73,49703,324,400,5,5,340,6,76,16,1
populations,US,13,73,44885,324,330,1,7,330,7,6,6,0
populations,US,13,73,46627,324,500,6,2,350,5,176,26,1
populations,US,13,73,42839,324,360,4,5,330,6,36,6,1
populations,US,13,74,16362,324,900,7,2,325,5,576,1,1
populations,US,13,74,45584,324,312,6,3,315,3,12,9,1
populations,US,13,74,47778,324,375,3,5,360,5,51,36,1
populations,US,13,74,43722,324,350,6,2,350,2,26,26,0
populations,US,13,74,49113,324,323,5,3,333,2,1,9,0
populations,US,13,75,48096,324,330,3,6,320,5,6,4,1
populations,US,13,75,19077,324,330,3,5,338,6,6,14,0
populations,US,13,75,48557,324,330,1,7,350,7,6,26,0
populations,US,13,75,47375,324,330,2,6,330,6,6,6,0
populations,US,13,75,49398,324,350,5,5,340,6,26,16,1
populations,US,13,76,47537,324,700,3,7,700,7,376,376,0
populations,US,13,76,49141,324,750,5,5,700,5,426,376,1
populations,US,13,76,42224,324,700,2,7,700,7,376,376,0
populations,US,13,76,48853,324,800,4,5,750,5,476,426,1
populations,US,13,77,15312,324,340,3,5,330,5,16,6,1
populations,US,13,77,39658,324,400,5,5,375,5,76,51,1
populations,US,13,77,45657,324,600,5,4,500,4,276,176,1
populations,US,13,77,49722,324,351,3,5,355,5,27,31,0
populations,US,13,77,48061,324,300,3,5,375,5,24,51,0
populations,US,13,78,49819,324,300,5,3,300,6,24,24,0
populations,US,13,78,41919,324,300,3,6,300,5,24,24,0
populations,US,13,78,42439,324,300,3,5,300,5,24,24,0
populations,US,13,78,42912,324,350,3,5,350,5,26,26,0
populations,US,13,78,48910,324,300,3,5,300,5,24,24,0
populations,US,13,79,29534,324,600,2,6,400,4,276,76,1
populations,US,13,79,38286,324,335,3,5,330,4,11,6,1
populations,US,13,79,45851,324,315,3,6,350,6,9,26,0
populations,US,13,79,48147,324,350,3,6,330,6,26,6,1
populations,US,13,80,47505,324,600,4,5,350,2,276,26,1
populations,US,13,80,43307,324,340,3,5,350,5,16,26,0
populations,US,13,80,44194,324,424,3,6,420,6,100,96,1
populations,US,13,80,48388,324,305,2,5,310,5,19,14,1
populations,US,13,80,48725,324,600,7,2,413,2,276,89,1
populations,US,13,81,49183,324,330,2,6,318,7,6,6,0
populations,US,13,81,43305,324,320,3,6,318,7,4,6,0
populations,US,13,81,45893,324,320,3,6,318,5,4,6,0
populations,US,13,81,31758,324,300,3,5,318,6,24,6,1
populations,US,13,82,46096,324,325,2,5,320,5,1,4,0
populations,US,13,82,45622,324,350,3,5,350,5,26,26,0
populations,US,13,82,46037,324,350,3,5,350,5,26,26,0
populations,US,13,82,46007,324,365,3,5,365,5,41,41,0
populations,US,13,83,45999,324,350,3,5,330,5,26,6,1
populations,US,13,83,43112,324,350,4,5,320,5,26,4,1
populations,US,13,83,49217,324,350,3,5,325,6,26,1,1
populations,US,13,83,40947,324,350,3,5,320,5,26,4,1
populations,US,13,84,16387,324,736,5,1,450,1,412,126,1
populations,US,13,84,49504,324,370,3,5,370,6,46,46,0
populations,US,13,84,44807,324,350,3,3,370,6,26,46,0
populations,US,13,84,49368,324,370,6,6,370,6,46,46,0
populations,US,13,85,46776,324,350,2,6,350,6,26,26,0
populations,US,13,85,48809,324,345,3,5,345,5,21,21,0
populations,US,13,85,49759,324,350,5,4,350,4,26,26,0
populations,US,13,85,48085,324,340,2,6,346,6,16,22,0
populations,US,13,86,36285,324,320,3,5,330,2,4,6,0
populations,US,13,86,48346,324,300,3,6,320,6,24,4,1
populations,US,13,86,48021,324,330,1,7,330,7,6,6,0
populations,US,13,86,46515,324,330,3,6,330,6,6,6,0
populations,US,13,86,46988,324,300,5,5,330,6,24,6,1
populations,US,13,87,48984,324,300,4,4,300,4,24,24,0
populations,US,13,87,46189,324,330,3,5,330,5,6,6,0
populations,US,13,87,49211,324,306,4,5,306,5,18,18,0
populations,US,13,87,43541,324,300,2,6,300,6,24,24,0
populations,US,13,88,44507,324,500,4,4,500,4,176,176,0
populations,US,13,88,49231,324,100,5,2,200,2,224,124,1
populations,US,13,88,43682,324,800,6,2,750,2,476,426,1
populations,US,13,88,49809,324,165,6,3,400,5,159,76,1
populations,US,13,89,48558,324,332,2,6,327,6,8,3,1
populations,US,13,89,49755,324,330,5,4,327,4,6,3,1
populations,US,13,89,42963,324,330,4,5,330,6,6,6,0
populations,US,13,89,42234,324,330,4,6,330,2,6,6,0
populations,US,13,90,46221,324,12,4,2,325,6,312,1,1
populations,US,13,90,45295,324,325,3,6,325,6,1,1,0
populations,US,13,90,45524,324,6,5,4,325,5,318,1,1
populations,US,13,90,36251,324,226,3,5,325,6,98,1,1
populations,US,13,91,48548,324,777,6,4,350,4,453,26,1
populations,US,13,91,41492,324,320,3,5,320,5,4,4,0
populations,US,13,91,43535,324,75,4,3,100,4,249,224,1
populations,US,13,91,48531,324,12,7,2,100,1,312,224,1
populations,US,13,91,48817,324,700,3,2,430,2,376,106,1
populations,US,13,92,1164,324,300,3,6,310,6,24,14,1
populations,US,13,92,45807,324,333,3,6,333,6,9,9,0
populations,US,13,92,49131,324,300,3,4,333,4,24,9,1
populations,US,13,92,46550,324,310,4,4,324,7,14,0,1
populations,US,13,93,48375,324,340,4,6,340,1,16,16,0
populations,US,13,93,43358,324,340,2,6,340,6,16,16,0
populations,US,13,93,48306,324,340,1,7,340,7,16,16,0
populations,US,13,93,48970,324,340,4,4,340,5,16,16,0
populations,US,13,94,49218,324,300,3,6,300,6,24,24,0
populations,US,13,94,48620,324,300,2,6,320,6,24,4,1
populations,US,13,94,45916,324,300,5,5,300,6,24,24,0
populations,US,13,94,48702,324,300,2,6,320,6,24,4,1
populations,US,13,95,49588,324,60,6,3,350,1,264,26,1
populations,US,13,95,49767,324,200,4,2,315,4,124,9,1
populations,US,13,95,32386,324,320,3,5,320,5,4,4,0
populations,US,13,95,44351,324,350,5,3,340,3,26,16,1
populations,US,13,96,32122,324,100,6,5,330,1,224,6,1
populations,US,13,96,49512,324,350,5,5,330,6,26,6,1
populations,US,13,96,46226,324,330,5,4,330,6,6,6,0
populations,US,13,96,44868,324,360,2,6,330,7,36,6,1
populations,US,13,96,40390,324,330,2,6,330,6,6,6,0
populations,US,13,97,49563,324,300,3,5,305,5,24,19,1
populations,US,13,97,40318,324,315,3,5,315,5,9,9,0
populations,US,13,97,48134,324,800,7,2,300,5,476,24,1
populations,US,13,98,47969,324,320,2,2,320,6,4,4,0
populations,US,13,98,44327,324,300,3,6,320,6,24,4,1
populations,US,13,98,39508,324,320,3,5,323,5,4,1,1
populations,US,13,98,42938,324,375,5,3,320,5,51,4,1
populations,US,13,99,49655,324,335,1,7,335,7,11,11,0
populations,US,13,99,30033,324,350,3,5,337,6,26,13,1
populations,US,13,99,48931,324,350,3,5,342,6,26,18,1
populations,US,13,99,49560,324,350,5,5,338,6,26,14,1
populations,US,13,100,38914,324,300,6,3,350,2,24,26,0
populations,US,13,100,42918,324,350,3,5,350,5,26,26,0
populations,US,13,100,48689,324,320,4,5,350,5,4,26,0
populations,US,13,100,35749,324,315,6,1,325,2,9,1,1
populations,Uzbekistan,14,57,41442,32,78,6,2,7,2,46,25,1
populations,Uzbekistan,14,57,29147,32,1,2,6,1,6,31,31,0
populations,Uzbekistan,14,57,33246,32,7,7,1,7,1,25,25,0
populations,Uzbekistan,14,57,48265,32,5,7,1,5,2,27,27,0
populations,Uzbekistan,14,58,49469,32,85,5,2,80,4,53,48,1
populations,Uzbekistan,14,58,41784,32,7,6,2,8,3,25,24,1
populations,Uzbekistan,14,58,45669,32,7,6,3,7,4,25,25,0
populations,Uzbekistan,14,58,41802,32,150,7,2,75,3,118,43,1
populations,Uzbekistan,14,58,42992,32,100,7,2,70,5,68,38,1
populations,Uzbekistan,14,59,48871,32,350,6,3,20,4,318,12,1
populations,Uzbekistan,14,59,44302,32,10,6,2,20,2,22,12,1
populations,Uzbekistan,14,59,23107,32,150,6,3,50,5,118,18,1
populations,Uzbekistan,14,59,49811,32,69,6,3,33,4,37,1,1
populations,Uzbekistan,14,60,46132,32,25,7,1,16,1,7,16,0
populations,Uzbekistan,14,60,46991,32,20,7,1,20,1,12,12,0
populations,Uzbekistan,14,60,47540,32,8,6,2,11,2,24,21,1
populations,Uzbekistan,14,60,49323,32,45,6,2,30,2,13,2,1
populations,Uzbekistan,14,61,41302,32,20,4,3,25,4,12,7,1
populations,Uzbekistan,14,61,44915,32,10,5,3,20,3,22,12,1
populations,Uzbekistan,14,61,49863,32,15,7,2,10,5,17,22,0
populations,Uzbekistan,14,61,49279,32,15,5,2,15,3,17,17,0
populations,Uzbekistan,14,62,46795,32,100,7,2,30,3,68,2,1
populations,Uzbekistan,14,62,46018,32,14,7,1,17,3,18,15,1
populations,Uzbekistan,14,62,49233,32,30,5,3,18,3,2,14,0
populations,Uzbekistan,14,62,47479,32,20,6,2,15,2,12,17,0
populations,Uzbekistan,14,63,46207,32,7,7,1,10,1,25,22,1
populations,Uzbekistan,14,63,46295,32,20,5,3,22,6,12,10,1
populations,Uzbekistan,14,63,49824,32,15,7,1,15,4,17,17,0
populations,Uzbekistan,14,63,49044,32,15,7,1,10,2,17,22,0
populations,Uzbekistan,14,64,49210,32,4,5,2,15,3,28,17,1
populations,Uzbekistan,14,64,47551,32,20,5,2,20,3,12,12,0
populations,Uzbekistan,14,64,49404,32,12,7,1,12,1,20,20,0
populations,Uzbekistan,14,64,48699,32,2,5,2,7,4,30,25,1
populations,Uzbekistan,14,64,45804,32,70,4,5,45,3,38,13,1
populations,Uzbekistan,14,65,49617,32,3,6,3,4,2,29,28,1
populations,Uzbekistan,14,65,43543,32,30,5,3,20,4,2,12,0
populations,Uzbekistan,14,65,48777,32,2,7,1,2,2,30,30,0
populations,Uzbekistan,14,65,44618,32,2,4,2,1,2,30,31,0
populations,Uzbekistan,14,66,49665,32,12,5,3,5,3,20,27,0
populations,Uzbekistan,14,66,49548,32,10,4,2,6,3,22,26,0
populations,Uzbekistan,14,66,49843,32,6,6,2,6,4,26,26,0
populations,Uzbekistan,14,66,46551,32,5,6,2,5,3,27,27,0
populations,Uzbekistan,14,66,41405,32,250,5,3,25,5,218,7,1
populations,Uzbekistan,14,67,7873,32,4,5,5,4,5,28,28,0
populations,Uzbekistan,14,67,48647,32,3,6,3,3,4,29,29,0
populations,Uzbekistan,14,67,48726,32,40,7,2,5,5,8,27,0
populations,Uzbekistan,14,67,27235,32,6,7,1,1,1,26,31,0
populations,Uzbekistan,14,68,42915,32,10,7,1,10,1,22,22,0
populations,Uzbekistan,14,68,48364,32,6,6,4,6,4,26,26,0
populations,Uzbekistan,14,68,47678,32,15,6,2,8,2,17,24,0
populations,Uzbekistan,14,68,40540,32,5,6,2,5,2,27,27,0
populations,Uzbekistan,14,69,49432,32,8,5,3,8,5,24,24,0
populations,Uzbekistan,14,69,40355,32,150,5,3,8,3,118,24,1
populations,Uzbekistan,14,69,47314,32,5,4,4,8,4,27,24,1
populations,Uzbekistan,14,69,49215,32,18,4,4,7,4,14,25,0
populations,Uzbekistan,14,69,49165,32,35,5,5,25,5,3,7,0
populations,Uzbekistan,14,70,46006,32,10,7,1,35,1,22,3,1
populations,Uzbekistan,14,70,40975,32,50,7,4,20,4,18,12,1
populations,Uzbekistan,14,70,41436,32,65,7,1,30,1,33,2,1
populations,Uzbekistan,14,70,47622,32,14,7,2,18,2,18,14,1
populations,Uzbekistan,14,70,49132,32,100,6,1,25,2,68,7,1
populations,Uzbekistan,14,71,48865,32,8,6,2,8,3,24,24,0
populations,Uzbekistan,14,71,49727,32,35,6,2,11,3,3,21,0
populations,Uzbekistan,14,71,48763,32,4,6,2,7,2,28,25,1
populations,Uzbekistan,14,71,40461,32,15,6,2,6,2,17,26,0
populations,Uzbekistan,14,71,47398,32,3,6,2,10,2,29,22,1
populations,Uzbekistan,14,72,49787,32,1,7,1,3,1,31,29,1
populations,Uzbekistan,14,72,44143,32,2,6,2,2,2,30,30,0
populations,Uzbekistan,14,72,49865,32,31,6,2,25,2,1,7,0
populations,Uzbekistan,14,72,49310,32,1,7,1,1,1,31,31,0
populations,Uzbekistan,14,72,45727,32,10,6,1,10,2,22,22,0
populations,Uzbekistan,14,73,46881,32,80,6,5,60,5,48,28,1
populations,Uzbekistan,14,73,49703,32,3,6,3,12,3,29,20,1
populations,Uzbekistan,14,73,44885,32,5,6,1,12,2,27,20,1
populations,Uzbekistan,14,73,46627,32,2,6,2,10,3,30,22,1
populations,Uzbekistan,14,73,42839,32,80,3,2,70,3,48,38,1
populations,Uzbekistan,14,74,16362,32,1,7,1,3,1,31,29,1
populations,Uzbekistan,14,74,45584,32,7.4,6,2,6,2,24.6,26,0
populations,Uzbekistan,14,74,47778,32,6,5,3,6,5,26,26,0
populations,Uzbekistan,14,74,43722,32,3,7,1,4,1,29,28,1
populations,Uzbekistan,14,74,49113,32,6,7,1,4,2,26,28,0
populations,Uzbekistan,14,75,48096,32,2,7,2,2.5,3,30,29.5,1
populations,Uzbekistan,14,75,19077,32,3,7,2,4,2,29,28,1
populations,Uzbekistan,14,75,48557,32,0.75,7,1,2,1,31.25,30,1
populations,Uzbekistan,14,75,47375,32,11,5,3,6,4,21,26,0
populations,Uzbekistan,14,75,49398,32,2,7,1,4,2,30,28,1
populations,Uzbekistan,14,76,47537,32,3,7,2,5,2,29,27,1
populations,Uzbekistan,14,76,49141,32,2,7,1,10,1,30,22,1
populations,Uzbekistan,14,76,42224,32,60,4,5,5,2,28,27,1
populations,Uzbekistan,14,76,48853,32,10,5,1,25,1,22,7,1
populations,Uzbekistan,14,77,15312,32,80,5,4,70,4,48,38,1
populations,Uzbekistan,14,77,39658,32,2,4,4,2,5,30,30,0
populations,Uzbekistan,14,77,45657,32,500,7,2,50,2,468,18,1
populations,Uzbekistan,14,77,49722,32,25,5,3,25,3,7,7,0
populations,Uzbekistan,14,77,48061,32,7,6,3,20,4,25,12,1
populations,Uzbekistan,14,78,49819,32,13,7,1,9,1,19,23,0
populations,Uzbekistan,14,78,41919,32,10,6,1,10,1,22,22,0
populations,Uzbekistan,14,78,42439,32,25,6,2,12,2,7,20,0
populations,Uzbekistan,14,78,42912,32,2,6,2,8,2,30,24,1
populations,Uzbekistan,14,78,48910,32,10,7,1,8,2,22,24,0
populations,Uzbekistan,14,79,29534,32,200,5,6,20,6,168,12,1
populations,Uzbekistan,14,79,38286,32,27,6,2,18,2,5,14,0
populations,Uzbekistan,14,79,45851,32,120,5,4,50,5,88,18,1
populations,Uzbekistan,14,79,48147,32,10,6,2,15,2,22,17,1
populations,Uzbekistan,14,80,47505,32,300,6,1,3.5,4,268,28.5,1
populations,Uzbekistan,14,80,43307,32,15,6,1,5,2,17,27,0
populations,Uzbekistan,14,80,44194,32,2,6,3,2,5,30,30,0
populations,Uzbekistan,14,80,48388,32,3,2,5,2,5,29,30,0
populations,Uzbekistan,14,80,48725,32,2,7,3,2,2,30,30,0
populations,Uzbekistan,14,81,49183,32,8,4,4,5,4,24,27,0
populations,Uzbekistan,14,81,43305,32,3,4,4,3,4,29,29,0
populations,Uzbekistan,14,81,45893,32,3.5,7,1,4,5,28.5,28,1
populations,Uzbekistan,14,81,31758,32,5,7,2,5,2,27,27,0
populations,Uzbekistan,14,82,46096,32,10,5,5,15,3,22,17,1
populations,Uzbekistan,14,82,45622,32,5,4,2,15,2,27,17,1
populations,Uzbekistan,14,82,46037,32,40,7,4,40,4,8,8,0
populations,Uzbekistan,14,82,46007,32,70,4,4,30,4,38,2,1
populations,Uzbekistan,14,83,45999,32,7,6,2,5,2,25,27,0
populations,Uzbekistan,14,83,43112,32,5,7,3,2,4,27,30,0
populations,Uzbekistan,14,83,49217,32,10,6,3,5,2,22,27,0
populations,Uzbekistan,14,83,40947,32,6,5,2,6,2,26,26,0
populations,Uzbekistan,14,84,16387,32,25,7,1,25,1,7,7,0
populations,Uzbekistan,14,84,49504,32,20,6,2,12,2,12,20,0
populations,Uzbekistan,14,84,44807,32,40,6,2,25,2,8,7,1
populations,Uzbekistan,14,84,49368,32,3,5,4,15,4,29,17,1
populations,Uzbekistan,14,85,46776,32,2,7,3,5,2,30,27,1
populations,Uzbekistan,14,85,48809,32,20,7,1,15,1,12,17,0
populations,Uzbekistan,14,85,49759,32,10,6,2,10,2,22,22,0
populations,Uzbekistan,14,85,48085,32,20,6,2,9,1,12,23,0
populations,Uzbekistan,14,86,36285,32,10,7,1,8,1,22,24,0
populations,Uzbekistan,14,86,48346,32,24,7,1,11,2,8,21,0
populations,Uzbekistan,14,86,48021,32,5,5,5,7,3,27,25,1
populations,Uzbekistan,14,86,46515,32,20,6,2,15,3,12,17,0
populations,Uzbekistan,14,86,46988,32,11,5,3,11,2,21,21,0
populations,Uzbekistan,14,87,48984,32,10,4,4,10,4,22,22,0
populations,Uzbekistan,14,87,46189,32,3,7,1,3,2,29,29,0
populations,Uzbekistan,14,87,49211,32,5,7,1,4,2,27,28,0
populations,Uzbekistan,14,87,43541,32,10,5,3,7,4,22,25,0
populations,Uzbekistan,14,88,44507,32,3,4,4,150,4,29,118,0
populations,Uzbekistan,14,88,49231,32,100,5,3,85,3,68,53,1
populations,Uzbekistan,14,88,43682,32,85,7,1,80,2,53,48,1
populations,Uzbekistan,14,88,49809,32,9,6,3,80,5,23,48,0
populations,Uzbekistan,14,89,48558,32,2,7,1,4,2,30,28,1
populations,Uzbekistan,14,89,49755,32,10,7,1,30,2,22,2,1
populations,Uzbekistan,14,89,42963,32,5,6,1,5,2,27,27,0
populations,Uzbekistan,14,89,42234,32,50,5,3,50,4,18,18,0
populations,Uzbekistan,14,90,46221,32,8,7,3,9,4,24,23,1
populations,Uzbekistan,14,90,45295,32,11,7,1,9,2,21,23,0
populations,Uzbekistan,14,90,45524,32,2,6,2,9,5,30,23,1
populations,Uzbekistan,14,90,36251,32,20,7,2,9,5,12,23,0
populations,Uzbekistan,14,91,48548,32,5,6,4,6,4,27,26,1
populations,Uzbekistan,14,91,41492,32,20,5,2,8,2,12,24,0
populations,Uzbekistan,14,91,43535,32,50,6,2,6,3,18,26,0
populations,Uzbekistan,14,91,48531,32,7,4,3,6,3,25,26,0
populations,Uzbekistan,14,91,48817,32,40,6,1,6,3,8,26,0
populations,Uzbekistan,14,92,1164,32,50,4,5,60,4,18,28,0
populations,Uzbekistan,14,92,45807,32,20,6,3,40,5,12,8,1
populations,Uzbekistan,14,92,49131,32,90,7,1,60,1,58,28,1
populations,Uzbekistan,14,92,46550,32,50,4,4,50,4,18,18,0
populations,Uzbekistan,14,93,48375,32,7,4,1,10,1,25,22,1
populations,Uzbekistan,14,93,43358,32,20,7,1,10,1,12,22,0
populations,Uzbekistan,14,93,48306,32,75,7,1,15,1,43,17,1
populations,Uzbekistan,14,93,48970,32,10,6,1,10,2,22,22,0
populations,Uzbekistan,14,94,49218,32,30,6,2,20,3,2,12,0
populations,Uzbekistan,14,94,48620,32,6,4,2,8,2,26,24,1
populations,Uzbekistan,14,94,45916,32,20,6,2,15,5,12,17,0
populations,Uzbekistan,14,94,48702,32,22,7,1,10,1,10,22,0
populations,Uzbekistan,14,95,49588,32,12,7,2,9,1,20,23,0
populations,Uzbekistan,14,95,49767,32,11,6,1,10,2,21,22,0
populations,Uzbekistan,14,95,32386,32,2,7,1,5,1,30,27,1
populations,Uzbekistan,14,95,44351,32,15,5,2,13,2,17,19,0
populations,Uzbekistan,14,96,32122,32,7,5,4,5,4,25,27,0
populations,Uzbekistan,14,96,49512,32,5,6,3,10,4,27,22,1
populations,Uzbekistan,14,96,46226,32,25,6,2,7,4,7,25,0
populations,Uzbekistan,14,96,44868,32,15,7,1,15,2,17,17,0
populations,Uzbekistan,14,96,40390,32,3,6,2,3,3,29,29,0
populations,Uzbekistan,14,97,49563,32,50,6,2,15,3,18,17,1
populations,Uzbekistan,14,97,40318,32,19,6,2,15,2,13,17,0
populations,Uzbekistan,14,97,48134,32,5,7,1,10,1,27,22,1
populations,Uzbekistan,14,98,47969,32,30,4,4,20,4,2,12,0
populations,Uzbekistan,14,98,44327,32,10,7,2,15,2,22,17,1
populations,Uzbekistan,14,98,39508,32,15,5,2,17,5,17,15,1
populations,Uzbekistan,14,98,42938,32,15,7,1,20,2,17,12,1
populations,Uzbekistan,14,99,49655,32,80,6,4,65,3,48,33,1
populations,Uzbekistan,14,99,30033,32,430,7,3,70,5,398,38,1
populations,Uzbekistan,14,99,48931,32,12,6,2,55,5,20,23,0
populations,Uzbekistan,14,99,49560,32,100,6,2,70,4,68,38,1
populations,Uzbekistan,14,100,38914,32,2,7,2,10,2,30,22,1
populations,Uzbekistan,14,100,42918,32,15,4,4,15,4,17,17,0
populations,Uzbekistan,14,100,48689,32,30,7,1,20,2,2,12,0
populations,Uzbekistan,14,100,35749,32,100,7,1,30,2,68,2,1
populations,Canada,15,57,41442,37,200,5,2,200,3,163,163,0
populations,Canada,15,57,29147,37,50,2,6,50,6,13,13,0
populations,Canada,15,57,33246,37,200,7,2,100,2,163,63,1
populations,Canada,15,57,48265,37,350,7,1,250,3,313,213,1
populations,Canada,15,58,49469,37,250,4,4,250,4,213,213,0
populations,Canada,15,58,41784,37,175,5,3,150,4,138,113,1
populations,Canada,15,58,45669,37,150,6,3,200,4,113,163,0
populations,Canada,15,58,41802,37,175,6,3,175,5,138,138,0
populations,Canada,15,58,42992,37,250,6,2,200,4,213,163,1
populations,Canada,15,59,48871,37,200,6,3,250,4,163,213,0
populations,Canada,15,59,44302,37,150,6,2,200,3,113,163,0
populations,Canada,15,59,23107,37,35,5,5,280,5,2,243,0
populations,Canada,15,59,49811,37,240,4,4,235,4,203,198,1
populations,Canada,15,60,46132,37,200,6,1,90,1,163,53,1
populations,Canada,15,60,46991,37,50,7,1,50,1,13,13,0
populations,Canada,15,60,47540,37,55,3,3,60,2,18,23,0
populations,Canada,15,60,49323,37,200,5,3,50,6,163,13,1
populations,Canada,15,61,41302,37,115,4,3,115,4,78,78,0
populations,Canada,15,61,44915,37,250,5,3,180,3,213,143,1
populations,Canada,15,61,49863,37,10,6,3,100,4,27,63,0
populations,Canada,15,61,49279,37,650,5,3,90,2,613,53,1
populations,Canada,15,62,46795,37,300,6,2,175,3,263,138,1
populations,Canada,15,62,46018,37,200,5,3,200,4,163,163,0
populations,Canada,15,62,49233,37,55,5,2,100,3,18,63,0
populations,Canada,15,62,47479,37,150,4,3,140,3,113,103,1
populations,Canada,15,63,46207,37,175,6,3,175,2,138,138,0
populations,Canada,15,63,46295,37,150,5,3,120,5,113,83,1
populations,Canada,15,63,49824,37,425,5,4,140,4,388,103,1
populations,Canada,15,63,49044,37,75,5,3,130,3,38,93,0
populations,Canada,15,64,49210,37,60,5,3,60,3,23,23,0
populations,Canada,15,64,47551,37,40,5,3,50,4,3,13,0
populations,Canada,15,64,49404,37,60,6,2,50,2,23,13,1
populations,Canada,15,64,48699,37,50,5,4,50,5,13,13,0
populations,Canada,15,64,45804,37,25,4,1,100,4,12,63,0
populations,Canada,15,65,49617,37,30,4,4,50,4,7,13,0
populations,Canada,15,65,43543,37,500,4,4,200,4,463,163,1
populations,Canada,15,65,48777,37,100,6,2,90,3,63,53,1
populations,Canada,15,65,44618,37,160,5,3,180,4,123,143,0
populations,Canada,15,66,49665,37,100,5,5,100,5,63,63,0
