"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","task","trial","dataset"
"53",53,"California",213,"Dem",40,42,53,60.2,"D","decentralized",1,1,NA,40,53,"California","D1decentralized1Dem","becker 2019"
"54",54,"California",271,"Dem",54,53,52,60.2,"D","decentralized",1,1,NA,54,52,"California","D1decentralized1Dem","becker 2019"
"55",55,"Taxes",271,"Dem",13,14,13,14.6,"D","decentralized",1,1,NA,13,13,"Taxes","D1decentralized1Dem","becker 2019"
"56",56,"California",240,"Dem",30,35,45,60.2,"D","decentralized",1,1,NA,30,45,"California","D1decentralized1Dem","becker 2019"
"57",57,"California",214,"Dem",55,60,60,60.2,"D","decentralized",1,1,NA,55,60,"California","D1decentralized1Dem","becker 2019"
"58",58,"Taxes",262,"Dem",13,15,15,14.6,"D","decentralized",1,1,NA,13,15,"Taxes","D1decentralized1Dem","becker 2019"
"59",59,"Unemployment",225,"Dem",6,5,5,4.9,"D","decentralized",1,1,NA,6,5,"Unemployment","D1decentralized1Dem","becker 2019"
"60",60,"Taxes",234,"Dem",15.6,17,21.8,14.6,"D","decentralized",1,1,NA,15.6,21.8,"Taxes","D1decentralized1Dem","becker 2019"
"61",61,"Taxes",225,"Dem",18,20,20,14.6,"D","decentralized",1,1,NA,18,20,"Taxes","D1decentralized1Dem","becker 2019"
"62",62,"Election",229,"Dem",2450000,185,156,224.6,"D","decentralized",1,1,NA,2450000,156,"Election","D1decentralized1Dem","becker 2019"
"63",63,"Unemployment",222,"Dem",4,5,5,4.9,"D","decentralized",1,1,NA,4,5,"Unemployment","D1decentralized1Dem","becker 2019"
"64",64,"Unemployment",201,"Dem",45,10,NA,4.9,"D","decentralized",1,1,NA,45,NA,"Unemployment","D1decentralized1Dem","becker 2019"
"65",65,"Taxes",229,"Dem",20,22,22,14.6,"D","decentralized",1,1,NA,20,22,"Taxes","D1decentralized1Dem","becker 2019"
"66",66,"Election",264,"Dem",150,5,140,224.6,"D","decentralized",1,1,NA,150,140,"Election","D1decentralized1Dem","becker 2019"
"67",67,"Election",233,"Dem",200,225,227,224.6,"D","decentralized",1,1,NA,200,227,"Election","D1decentralized1Dem","becker 2019"
"68",68,"Unemployment",220,"Dem",4.9,6,6,4.9,"D","decentralized",1,1,NA,4.9,6,"Unemployment","D1decentralized1Dem","becker 2019"
"69",69,"Election",219,"Dem",270,227,227,224.6,"D","decentralized",1,1,NA,270,227,"Election","D1decentralized1Dem","becker 2019"
"70",70,"Election",276,"Dem",300,275,225,224.6,"D","decentralized",1,1,NA,300,225,"Election","D1decentralized1Dem","becker 2019"
"71",71,"Unemployment",203,"Dem",4,5,6,4.9,"D","decentralized",1,1,NA,4,6,"Unemployment","D1decentralized1Dem","becker 2019"
"72",72,"Taxes",221,"Dem",42,20,21,14.6,"D","decentralized",1,1,NA,42,21,"Taxes","D1decentralized1Dem","becker 2019"
"73",73,"California",211,"Dem",60,46,40,60.2,"D","decentralized",1,1,NA,60,40,"California","D1decentralized1Dem","becker 2019"
"74",74,"California",279,"Dem",14,45,45,60.2,"D","decentralized",1,1,NA,14,45,"California","D1decentralized1Dem","becker 2019"
"75",75,"Unemployment",279,"Dem",4,5,4,4.9,"D","decentralized",1,1,NA,4,4,"Unemployment","D1decentralized1Dem","becker 2019"
"76",76,"California",229,"Dem",43,44,45,60.2,"D","decentralized",1,1,NA,43,45,"California","D1decentralized1Dem","becker 2019"
"77",77,"Election",247,"Dem",250,208,208,224.6,"D","decentralized",1,1,NA,250,208,"Election","D1decentralized1Dem","becker 2019"
"78",78,"Unemployment",208,"Dem",12,6,6,4.9,"D","decentralized",1,1,NA,12,6,"Unemployment","D1decentralized1Dem","becker 2019"
"79",79,"Taxes",222,"Dem",35,30,28,14.6,"D","decentralized",1,1,NA,35,28,"Taxes","D1decentralized1Dem","becker 2019"
"80",80,"Taxes",279,"Dem",23.1,23.1,23.1,14.6,"D","decentralized",1,1,NA,23.1,23.1,"Taxes","D1decentralized1Dem","becker 2019"
"81",81,"California",208,"Dem",35,48,49,60.2,"D","decentralized",1,1,NA,35,49,"California","D1decentralized1Dem","becker 2019"
"82",82,"California",280,"Dem",35,35,35,60.2,"D","decentralized",1,1,NA,35,35,"California","D1decentralized1Dem","becker 2019"
"83",83,"Unemployment",247,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,"Unemployment","D1decentralized1Dem","becker 2019"
"84",84,"California",228,"Dem",52,50,52,60.2,"D","decentralized",1,1,NA,52,52,"California","D1decentralized1Dem","becker 2019"
"85",85,"Election",225,"Dem",200,220,230,224.6,"D","decentralized",1,1,NA,200,230,"Election","D1decentralized1Dem","becker 2019"
"86",86,"Unemployment",264,"Dem",12,12,10,4.9,"D","decentralized",1,1,NA,12,10,"Unemployment","D1decentralized1Dem","becker 2019"
"87",87,"California",221,"Dem",12,25,42,60.2,"D","decentralized",1,1,NA,12,42,"California","D1decentralized1Dem","becker 2019"
"88",88,"Unemployment",211,"Dem",4.6,4.6,4.6,4.9,"D","decentralized",1,1,NA,4.6,4.6,"Unemployment","D1decentralized1Dem","becker 2019"
"89",89,"Election",211,"Dem",100,210,200,224.6,"D","decentralized",1,1,NA,100,200,"Election","D1decentralized1Dem","becker 2019"
"90",90,"Taxes",211,"Dem",23,22,19,14.6,"D","decentralized",1,1,NA,23,19,"Taxes","D1decentralized1Dem","becker 2019"
"91",91,"Unemployment",212,"Dem",4.9,5,4.7,4.9,"D","decentralized",1,1,NA,4.9,4.7,"Unemployment","D1decentralized1Dem","becker 2019"
"92",92,"California",201,"Dem",15,25,30,60.2,"D","decentralized",1,1,NA,15,30,"California","D1decentralized1Dem","becker 2019"
"93",93,"Taxes",201,"Dem",30,25,24,14.6,"D","decentralized",1,1,NA,30,24,"Taxes","D1decentralized1Dem","becker 2019"
"94",94,"Taxes",264,"Dem",8,25,23,14.6,"D","decentralized",1,1,NA,8,23,"Taxes","D1decentralized1Dem","becker 2019"
"95",95,"California",264,"Dem",45,33,38,60.2,"D","decentralized",1,1,NA,45,38,"California","D1decentralized1Dem","becker 2019"
"96",96,"Unemployment",276,"Dem",12,5,5,4.9,"D","decentralized",1,1,NA,12,5,"Unemployment","D1decentralized1Dem","becker 2019"
"97",97,"Taxes",275,"Dem",29,27,32,14.6,"D","decentralized",1,1,NA,29,32,"Taxes","D1decentralized1Dem","becker 2019"
"98",98,"Taxes",276,"Dem",15,11,12,14.6,"D","decentralized",1,1,NA,15,12,"Taxes","D1decentralized1Dem","becker 2019"
"99",99,"Unemployment",269,"Dem",4.7,5,5,4.9,"D","decentralized",1,1,NA,4.7,5,"Unemployment","D1decentralized1Dem","becker 2019"
"100",100,"California",269,"Dem",51,45,47,60.2,"D","decentralized",1,1,NA,51,47,"California","D1decentralized1Dem","becker 2019"
"101",101,"California",225,"Dem",35,30,30,60.2,"D","decentralized",1,1,NA,35,30,"California","D1decentralized1Dem","becker 2019"
"102",102,"Election",234,"Dem",134,234,248,224.6,"D","decentralized",1,1,NA,134,248,"Election","D1decentralized1Dem","becker 2019"
"103",103,"Unemployment",234,"Dem",14,4.6,4.7,4.9,"D","decentralized",1,1,NA,14,4.7,"Unemployment","D1decentralized1Dem","becker 2019"
"104",104,"California",254,"Dem",60,45,45,60.2,"D","decentralized",1,1,NA,60,45,"California","D1decentralized1Dem","becker 2019"
"105",105,"California",247,"Dem",6,52,52,60.2,"D","decentralized",1,1,NA,6,52,"California","D1decentralized1Dem","becker 2019"
"106",106,"Election",204,"Dem",340,320,320,224.6,"D","decentralized",1,1,NA,340,320,"Election","D1decentralized1Dem","becker 2019"
"107",107,"California",253,"Dem",7,26,29,60.2,"D","decentralized",1,1,NA,7,29,"California","D1decentralized1Dem","becker 2019"
"108",108,"California",219,"Dem",35,36,33,60.2,"D","decentralized",1,1,NA,35,33,"California","D1decentralized1Dem","becker 2019"
"109",109,"Unemployment",275,"Dem",6,5,4.5,4.9,"D","decentralized",1,1,NA,6,4.5,"Unemployment","D1decentralized1Dem","becker 2019"
"110",110,"Taxes",247,"Dem",39,29,30,14.6,"D","decentralized",1,1,NA,39,30,"Taxes","D1decentralized1Dem","becker 2019"
"111",111,"Unemployment",280,"Dem",13,7,7,4.9,"D","decentralized",1,1,NA,13,7,"Unemployment","D1decentralized1Dem","becker 2019"
"112",112,"Taxes",254,"Dem",15,15,15,14.6,"D","decentralized",1,1,NA,15,15,"Taxes","D1decentralized1Dem","becker 2019"
"113",113,"Taxes",256,"Dem",20,15,26,14.6,"D","decentralized",1,1,NA,20,26,"Taxes","D1decentralized1Dem","becker 2019"
"114",114,"Election",220,"Dem",350,240,235,224.6,"D","decentralized",1,1,NA,350,235,"Election","D1decentralized1Dem","becker 2019"
"115",115,"Unemployment",256,"Dem",15,14,4,4.9,"D","decentralized",1,1,NA,15,4,"Unemployment","D1decentralized1Dem","becker 2019"
"116",116,"Taxes",269,"Dem",22,8.6,10,14.6,"D","decentralized",1,1,NA,22,10,"Taxes","D1decentralized1Dem","becker 2019"
"117",117,"California",204,"Dem",40,40,40,60.2,"D","decentralized",1,1,NA,40,40,"California","D1decentralized1Dem","becker 2019"
"118",118,"California",222,"Dem",50,48,52,60.2,"D","decentralized",1,1,NA,50,52,"California","D1decentralized1Dem","becker 2019"
"119",119,"Taxes",258,"Dem",21,22,25,14.6,"D","decentralized",1,1,NA,21,25,"Taxes","D1decentralized1Dem","becker 2019"
"120",120,"California",212,"Dem",45,44,46,60.2,"D","decentralized",1,1,NA,45,46,"California","D1decentralized1Dem","becker 2019"
"121",121,"Taxes",204,"Dem",40,40,40,14.6,"D","decentralized",1,1,NA,40,40,"Taxes","D1decentralized1Dem","becker 2019"
"122",122,"Taxes",280,"Dem",37,23,32,14.6,"D","decentralized",1,1,NA,37,32,"Taxes","D1decentralized1Dem","becker 2019"
"123",123,"Unemployment",204,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,"Unemployment","D1decentralized1Dem","becker 2019"
"124",124,"California",275,"Dem",65,60,55,60.2,"D","decentralized",1,1,NA,65,55,"California","D1decentralized1Dem","becker 2019"
"125",125,"Election",269,"Dem",272,260,245,224.6,"D","decentralized",1,1,NA,272,245,"Election","D1decentralized1Dem","becker 2019"
"126",126,"California",258,"Dem",51,49,45,60.2,"D","decentralized",1,1,NA,51,45,"California","D1decentralized1Dem","becker 2019"
"127",127,"Election",256,"Dem",300,400,450,224.6,"D","decentralized",1,1,NA,300,450,"Election","D1decentralized1Dem","becker 2019"
"128",128,"California",256,"Dem",40,45,1,60.2,"D","decentralized",1,1,NA,40,1,"California","D1decentralized1Dem","becker 2019"
"129",129,"Unemployment",258,"Dem",4.5,4,5,4.9,"D","decentralized",1,1,NA,4.5,5,"Unemployment","D1decentralized1Dem","becker 2019"
"130",130,"Election",201,"Dem",300,299,299,224.6,"D","decentralized",1,1,NA,300,299,"Election","D1decentralized1Dem","becker 2019"
"131",131,"California",226,"Dem",44,44,44,60.2,"D","decentralized",1,1,NA,44,44,"California","D1decentralized1Dem","becker 2019"
"132",132,"Election",221,"Dem",200,212,206,224.6,"D","decentralized",1,1,NA,200,206,"Election","D1decentralized1Dem","becker 2019"
"133",133,"Election",280,"Dem",150,220,180,224.6,"D","decentralized",1,1,NA,150,180,"Election","D1decentralized1Dem","becker 2019"
"134",134,"Unemployment",254,"Dem",5,7,7,4.9,"D","decentralized",1,1,NA,5,7,"Unemployment","D1decentralized1Dem","becker 2019"
"135",135,"California",234,"Dem",65,46,44,60.2,"D","decentralized",1,1,NA,65,44,"California","D1decentralized1Dem","becker 2019"
"136",136,"Election",279,"Dem",240.4,223.6,223.2,224.6,"D","decentralized",1,1,NA,240.4,223.2,"Election","D1decentralized1Dem","becker 2019"
"137",137,"Election",422,"Dem",239,221,218,224.6,"D","decentralized",2,1,NA,239,218,"Election","D2decentralized1Dem","becker 2019"
"138",138,"California",386,"Dem",27,27,29,60.2,"D","decentralized",2,1,NA,27,29,"California","D2decentralized1Dem","becker 2019"
"139",139,"California",380,"Dem",35,40,40,60.2,"D","decentralized",2,1,NA,35,40,"California","D2decentralized1Dem","becker 2019"
"140",140,"California",406,"Dem",54,58,59,60.2,"D","decentralized",2,1,NA,54,59,"California","D2decentralized1Dem","becker 2019"
"141",141,"Election",386,"Dem",NA,76,205,224.6,"D","decentralized",2,1,NA,NA,205,"Election","D2decentralized1Dem","becker 2019"
"142",142,"Taxes",402,"Dem",22,20,15,14.6,"D","decentralized",2,1,NA,22,15,"Taxes","D2decentralized1Dem","becker 2019"
"143",143,"California",440,"Dem",65,60,60,60.2,"D","decentralized",2,1,NA,65,60,"California","D2decentralized1Dem","becker 2019"
"144",144,"Taxes",429,"Dem",15,20,18,14.6,"D","decentralized",2,1,NA,15,18,"Taxes","D2decentralized1Dem","becker 2019"
"145",145,"Unemployment",426,"Dem",12,9,7,4.9,"D","decentralized",2,1,NA,12,7,"Unemployment","D2decentralized1Dem","becker 2019"
"146",146,"Taxes",447,"Dem",21,23,22,14.6,"D","decentralized",2,1,NA,21,22,"Taxes","D2decentralized1Dem","becker 2019"
"147",147,"California",381,"Dem",23,36,32,60.2,"D","decentralized",2,1,NA,23,32,"California","D2decentralized1Dem","becker 2019"
"148",148,"Unemployment",352,"Dem",4.7,4,5,4.9,"D","decentralized",2,1,NA,4.7,5,"Unemployment","D2decentralized1Dem","becker 2019"
"149",149,"Unemployment",386,"Dem",4.6,4,4,4.9,"D","decentralized",2,1,NA,4.6,4,"Unemployment","D2decentralized1Dem","becker 2019"
"150",150,"Election",440,"Dem",230,230,230,224.6,"D","decentralized",2,1,NA,230,230,"Election","D2decentralized1Dem","becker 2019"
"151",151,"California",421,"Dem",45,43,40,60.2,"D","decentralized",2,1,NA,45,40,"California","D2decentralized1Dem","becker 2019"
"152",152,"Unemployment",440,"Dem",5,5.5,5,4.9,"D","decentralized",2,1,NA,5,5,"Unemployment","D2decentralized1Dem","becker 2019"
"153",153,"Unemployment",406,"Dem",5.2,5,5,4.9,"D","decentralized",2,1,NA,5.2,5,"Unemployment","D2decentralized1Dem","becker 2019"
"154",154,"Unemployment",446,"Dem",5,4.5,4.5,4.9,"D","decentralized",2,1,NA,5,4.5,"Unemployment","D2decentralized1Dem","becker 2019"
"155",155,"California",426,"Dem",45,35,30,60.2,"D","decentralized",2,1,NA,45,30,"California","D2decentralized1Dem","becker 2019"
"156",156,"California",377,"Dem",45,40,40,60.2,"D","decentralized",2,1,NA,45,40,"California","D2decentralized1Dem","becker 2019"
"157",157,"Election",365,"Dem",220,240,225,224.6,"D","decentralized",2,1,NA,220,225,"Election","D2decentralized1Dem","becker 2019"
"158",158,"Election",429,"Dem",225,225,230,224.6,"D","decentralized",2,1,NA,225,230,"Election","D2decentralized1Dem","becker 2019"
"159",159,"Election",396,"Dem",190,215,220,224.6,"D","decentralized",2,1,NA,190,220,"Election","D2decentralized1Dem","becker 2019"
"160",160,"Election",438,"Dem",250,200,200,224.6,"D","decentralized",2,1,NA,250,200,"Election","D2decentralized1Dem","becker 2019"
"161",161,"Unemployment",380,"Dem",4.5,4.5,4,4.9,"D","decentralized",2,1,NA,4.5,4,"Unemployment","D2decentralized1Dem","becker 2019"
"162",162,"Taxes",421,"Dem",30,25,20,14.6,"D","decentralized",2,1,NA,30,20,"Taxes","D2decentralized1Dem","becker 2019"
"163",163,"Election",380,"Dem",250,250,250,224.6,"D","decentralized",2,1,NA,250,250,"Election","D2decentralized1Dem","becker 2019"
"164",164,"Unemployment",421,"Dem",50,10,5,4.9,"D","decentralized",2,1,NA,50,5,"Unemployment","D2decentralized1Dem","becker 2019"
"165",165,"Taxes",438,"Dem",22,22,20,14.6,"D","decentralized",2,1,NA,22,20,"Taxes","D2decentralized1Dem","becker 2019"
"166",166,"California",435,"Dem",55,51,50,60.2,"D","decentralized",2,1,NA,55,50,"California","D2decentralized1Dem","becker 2019"
"167",167,"Election",352,"Dem",200,230,230,224.6,"D","decentralized",2,1,NA,200,230,"Election","D2decentralized1Dem","becker 2019"
"168",168,"California",447,"Dem",19,21,30,60.2,"D","decentralized",2,1,NA,19,30,"California","D2decentralized1Dem","becker 2019"
"169",169,"Election",377,"Dem",225,225,225,224.6,"D","decentralized",2,1,NA,225,225,"Election","D2decentralized1Dem","becker 2019"
"170",170,"Unemployment",429,"Dem",4,4,4,4.9,"D","decentralized",2,1,NA,4,4,"Unemployment","D2decentralized1Dem","becker 2019"
"171",171,"Election",434,"Dem",280,275,270,224.6,"D","decentralized",2,1,NA,280,270,"Election","D2decentralized1Dem","becker 2019"
"172",172,"Unemployment",360,"Dem",13,10,10,4.9,"D","decentralized",2,1,NA,13,10,"Unemployment","D2decentralized1Dem","becker 2019"
"173",173,"Taxes",446,"Dem",43,22,11,14.6,"D","decentralized",2,1,NA,43,11,"Taxes","D2decentralized1Dem","becker 2019"
"174",174,"California",372,"Dem",7,7,31,60.2,"D","decentralized",2,1,NA,7,31,"California","D2decentralized1Dem","becker 2019"
"175",175,"Taxes",351,"Dem",13,17,14,14.6,"D","decentralized",2,1,NA,13,14,"Taxes","D2decentralized1Dem","becker 2019"
"176",176,"Unemployment",384,"Dem",8,4,5,4.9,"D","decentralized",2,1,NA,8,5,"Unemployment","D2decentralized1Dem","becker 2019"
"177",177,"California",384,"Dem",30,25,30,60.2,"D","decentralized",2,1,NA,30,30,"California","D2decentralized1Dem","becker 2019"
"178",178,"Taxes",426,"Dem",25,22,21,14.6,"D","decentralized",2,1,NA,25,21,"Taxes","D2decentralized1Dem","becker 2019"
"179",179,"Election",435,"Dem",140,190,225,224.6,"D","decentralized",2,1,NA,140,225,"Election","D2decentralized1Dem","becker 2019"
"180",180,"Taxes",384,"Dem",25,25,24,14.6,"D","decentralized",2,1,NA,25,24,"Taxes","D2decentralized1Dem","becker 2019"
"181",181,"California",429,"Dem",23,57,52,60.2,"D","decentralized",2,1,NA,23,52,"California","D2decentralized1Dem","becker 2019"
"182",182,"Unemployment",395,"Dem",8,6,7,4.9,"D","decentralized",2,1,NA,8,7,"Unemployment","D2decentralized1Dem","becker 2019"
"183",183,"Election",415,"Dem",400,300,250,224.6,"D","decentralized",2,1,NA,400,250,"Election","D2decentralized1Dem","becker 2019"
"184",184,"Taxes",377,"Dem",15,20,20,14.6,"D","decentralized",2,1,NA,15,20,"Taxes","D2decentralized1Dem","becker 2019"
"185",185,"Unemployment",365,"Dem",8,7,6,4.9,"D","decentralized",2,1,NA,8,6,"Unemployment","D2decentralized1Dem","becker 2019"
"186",186,"Taxes",434,"Dem",14,14.4,14,14.6,"D","decentralized",2,1,NA,14,14,"Taxes","D2decentralized1Dem","becker 2019"
"187",187,"Election",445,"Dem",200,200,210,224.6,"D","decentralized",2,1,NA,200,210,"Election","D2decentralized1Dem","becker 2019"
"188",188,"California",361,"Dem",67,47,53,60.2,"D","decentralized",2,1,NA,67,53,"California","D2decentralized1Dem","becker 2019"
"189",189,"Taxes",360,"Dem",26,26,26,14.6,"D","decentralized",2,1,NA,26,26,"Taxes","D2decentralized1Dem","becker 2019"
"190",190,"Election",351,"Dem",210,155,180,224.6,"D","decentralized",2,1,NA,210,180,"Election","D2decentralized1Dem","becker 2019"
"191",191,"Election",402,"Dem",280,230,235,224.6,"D","decentralized",2,1,NA,280,235,"Election","D2decentralized1Dem","becker 2019"
"192",192,"Unemployment",361,"Dem",10,7,4,4.9,"D","decentralized",2,1,NA,10,4,"Unemployment","D2decentralized1Dem","becker 2019"
"193",193,"Unemployment",402,"Dem",6,6,6,4.9,"D","decentralized",2,1,NA,6,6,"Unemployment","D2decentralized1Dem","becker 2019"
"194",194,"Taxes",445,"Dem",8,10,10,14.6,"D","decentralized",2,1,NA,8,10,"Taxes","D2decentralized1Dem","becker 2019"
"195",195,"California",402,"Dem",25,30,10,60.2,"D","decentralized",2,1,NA,25,10,"California","D2decentralized1Dem","becker 2019"
"196",196,"Unemployment",415,"Dem",4.7,5,4,4.9,"D","decentralized",2,1,NA,4.7,4,"Unemployment","D2decentralized1Dem","becker 2019"
"197",197,"Unemployment",377,"Dem",6,6,6,4.9,"D","decentralized",2,1,NA,6,6,"Unemployment","D2decentralized1Dem","becker 2019"
"198",198,"Unemployment",447,"Dem",6,4,5,4.9,"D","decentralized",2,1,NA,6,5,"Unemployment","D2decentralized1Dem","becker 2019"
